hairbelt,0.9624,4.9500,1.5481,-0.0946,1.7955,1.3990,0.9797,1.2109
scissor,0.8019,22.0639,-0.2544,-2.3122,-1.1962,-7.3486,-11.6424,-8.5054
knife,0.0969,61.1971,0.1832,0.3438,-3.1153,-3.2628,-6.4519,-3.1034
hairbelt,0.9678,6.6416,1.1843,-1.2921,0.8171,1.1106,2.0093,0.4281
hairbelt,0.9680,6.7322,1.1688,-1.1735,0.5645,1.0169,1.7288,0.3941
knife,0.0940,61.4240,0.2082,0.3965,-4.2687,-4.5706,-8.9919,-4.4300
knife,0.0925,61.8945,0.2194,0.4184,-2.8672,-2.9866,-5.9136,-2.7883
scissor,0.8057,21.8383,-0.2460,-2.1783,-1.2351,-6.9434,-12.1142,-8.4977
scissor,0.9638,21.5077,-0.2937,-3.2116,-1.1706,-8.0740,-13.4237,-9.7870scissor,0.9638,21.5184,-0.2942,-3.2160,-1.1712,-8.0860,-13.4999,-9.8113
scissor,0.5270,15.2486,-0.0106,-1.0677,0.6698,-0.0398,0.2750,-0.5747
scissor,0.5270,15.2486,-0.0106,-1.0677,0.6698,-0.0398,0.2750,-0.5747
